DPST1014	W10A	TUT	10	18	Wed 10-11:30	Block 115
COMP2041	W15A	LAB	22	30	Wed 16-18	Online
COMP9044	F15A	TUT	7	30	Fri 15-16	Quad G031
DPST1061	M14A	TUT	16	20	Mon 14-15	Online
DPBS1170	W15A	TUT	18	19	Thu 12-13:30	Block 124
COMP2511	H09A	LAB	27	25	Thu 10-12	Online
COMP2511	H11B	TUT	26	25	Thu 11-12	Online
COMP9312	W16A	TUT	0	20	Wed 16-17:30	CivEng G6
ENGG1811	F16A	LAB	25	26	Fri 16-18	TablaK17G7
COMP6443	F16A	TUT	1	16	Fri 16-18	Online
COMP1511	W09A	TUT	24	24	Wed 09-10	BUS 215
DPGE1002	F14A	TUT	23	24	Fri 14-16	Online
COMP1531	F15A	LAB	24	24	Fri 16-18	BongoK17G7
DPGE1002	M15A	TUT	22	22	Mon 15-17	Online
DPST1014	W10B	TUT	18	18	Thu 15-16:30	Online
DPBS1180	W15A	TUT	21	22	Wed 15:30-17	Online
DPGE1001	M16A	TUT	7	18	Thu 13:30-15:30	Block 106
COMP9331	W18A	LAB	14	25	Wed 18-20	Online
COMP3331	T09A	LAB	4	24	Tue 09-11	BongoK17G7
COMP3331	F11A	LAB	22	25	Fri 11-13	Oboe ME304
COMP9312	W14A	TUT	0	20	Wed 14-15:30	Law 202
COMP9313	F11A	LAB	7	30	Fri 11-13	Quad G031
COMP9900	F16P	LAB	0	20	Fri 16-18	ClavierPhU
COMP3153	H17A	TUT	0	15	Thu 17-18	AinswthG01
COMP1511	H11A	TUT	24	24	Thu 11-12	BUS 215
COMP3153	H15A	LAB	7	15	Thu 16-18	ClavierPhU
DPST1051	M14A	LAB	36	48	Mon 14-17	TchLab 12
COMP2521	T11A	LAB	23	23	Tue 12-14	KoraME307
COMP1911	H11A	TUT	22	25	Thu 11-12	Ainswth101
COMP1531	H13A	TUT	24	24	Thu 13-14	Quad G044
COMP9044	F15B	TUT	7	30	Fri 15-16	Online
COMP1511	H13B	TUT	25	25	Thu 13-14	Gold G06
COMP1521	H11B	LAB	24	24	Thu 12-14	TablaK17G7
COMP9313	F14A	LAB	12	30	Fri 14-16	Quad G032
COMP2511	H18A	LAB	19	25	Thu 19-21	FluteME303
COMP9311	M14A	TLB	0	20	Mon 14-16	ClavierPhU
DPGE1003	T16A	TUT	18	25	Tue 16-17	Online
DPST1013	W12A	TUT	14	18	Fri 13-14:30	Block 106
DPGE1003	W17A	TUT	25	25	Wed 17-18	Online
DPBS1190	T11A	TUT	6	18	Thu 10-11:30	Block 125
DPBS1110	H10A	TUT	9	18	Fri 13:30-15	Block 118
DPST1023	T16B	TUT	5	18	Fri 13-14	Online
COMP1511	H15C	TUT	27	27	Thu 15-16	Online
COMP2511	W15B	LAB	25	25	Wed 16-18	Online
COMP2521	F11B	LAB	23	23	Fri 12-14	Online
COMP2521	M17B	LAB	23	23	Mon 18-20	Online
COMP9311	H12A	TLB	20	20	Thu 12-14	Online
COMP9313	T14B	LAB	22	30	Tue 14-16	Online
COMP2521	M11A	TUT	23	23	Mon 11-12	Quad G054
DPST1023	H11A	TUT	4	18	Fri 11-12	Block 116
DPGE1001	M16B	TUT	20	25	Fri 10-12	Online
COMP2521	W09A	TUT	23	23	Wed 09-10	Quad G045
DPGE1001	M16A	TUT	7	18	Tue 16-18	Block 106
COMP1911	M13B	LAB	0	25	Mon 14-16	StringsME3
COMP1521	T12A	TUT	24	24	Tue 12-13	BUS 215
DPBS1150	T13A	TUT	6	18	Wed 12-13:30	Block 107
COMP2521	T18A	TUT	21	23	Tue 18-19	BUS 219
COMP1010	T09A	TUT	0	18	Tue 09-10	Quad G055
COMP2041	W17B	LAB	22	30	Wed 18-20	Online
COMP2511	H18A	TUT	19	25	Thu 18-19	Quad G045
COMP9414	T11A	TUT	0	24	Tue 11-12	Online
COMP3511	W14A	LAB	19	19	Wed 14-16	CHIK17G13
COMP2511	T11A	LAB	25	25	Tue 12-14	Oboe ME304
DPGE1001	T10B	TUT	9	18	Fri 14:30-16:30	Online
COMP1911	W09B	TUT	0	25	Wed 09-10	Quad G044
COMP9900	H14P	LAB	20	20	Thu 14-16	Online
DPGE1001	T12A	TUT	8	18	Tue 12-14	Block 114
COMP1010	T15A	LAB	0	18	Tue 16-18	Online
DPBS1100	T12A	TUT	5	18	Tue 12-13:30	Block 105
COMP1521	T18B	LAB	22	24	Tue 19-21	Online
COMP6843	F10A	TUT	0	10	Fri 10-12	CybSK17G11
COMP2521	W09A	LAB	23	23	Wed 10-12	FluteME303
COMP2511	W13A	LAB	27	25	Wed 14-16	FluteME303
COMP2511	M18A	LAB	25	25	Mon 19-21	Online
COMP9417	W15A	TUT	0	25	Wed 15-16	Quad 1045
DPBS1180	W14A	TUT	21	22	Fri 15:30-17	Online
COMP9417	W19A	TUT	15	25	Wed 19-20	Online
ENGG1811	F14A	LAB	24	24	Fri 14-16	BongoK17G7
COMP9900	W14P	LAB	15	20	Wed 14-16	LyreK17G12
COMP1531	F11B	LAB	24	24	Fri 12-14	TablaK17G7
COMP9319	H17A	TUT	0	30	Thu 17-18	Online
COMP2521	H18A	TUT	22	23	Thu 18-19	Quad G054
COMP2041	W17B	TUT	22	30	Wed 17-18	Online
COMP9414	W15A	TUT	25	25	Wed 15-16	Online
DPST1024	W15A	TUT	2	18	Fri 17-18	Online
COMP6443	F16A	TUT	24	24	Fri 16-18	Online
COMP2041	T09B	TUT	27	30	Tue 09-10	Quad 1046
DPST1013	T11A	TUT	24	25	Thu 11-12:30	Online
COMP9417	T15A	TUT	14	25	Tue 15-16	Quad G052
COMP2521	W11A	LAB	23	23	Wed 12-14	FluteME303
COMP2041	W17A	LAB	28	30	Wed 18-20	BrassME305
COMP9417	W19A	TUT	9	25	Wed 19-20	Online
COMP9044	T15C	LAB	12	30	Tue 16-18	Online
