poll|position|artist|track
2012|13|The Black Keys|Gold On The Ceiling
2012|14|Icona Pop|I Love It {ft. Charli XCX}
2012|15|Macklemore & Ryan Lewis|Same Love {ft. Mary Lambert}
2012|16|Rudimental|Not Giving In {ft. John Newman & Alex Clare}
2012|17|Flight Facilities|Clair De Lune {ft. Christine Hoberg}
2012|18|Hermitude|HyperParadise {Flume Remix}
2012|19|The xx|Angels
2012|20|Rudimental|Feel The Love {ft. John Newman}
Australian Albums '11|1|Powderfinger|Odyssey Number Five
Australian Albums '11|2|Silverchair|Frogstomp
Australian Albums '11|3|AC/DC|Back in Black
Australian Albums '11|4|The Living End|The Living End
Australian Albums '11|5|INXS|Kick
Australian Albums '11|6|Powderfinger|Internationalist
Australian Albums '11|7|The Presets|Apocalypso
Australian Albums '11|8|Wolfmother|Wolfmother
Australian Albums '11|9|The Avalanches|Since I Left You
Australian Albums '11|10|Regurgitator|Unit
Australian Albums '11|11|Gotye|Like Drawing Blood
Australian Albums '11|12|Grinspoon|Guide to Better Living
Australian Albums '11|13|Crowded House|Crowded House
Australian Albums '11|14|Powderfinger|Vulture Street
Australian Albums '11|15|Jebediah|Slightly Odway
Australian Albums '11|16|Hilltop Hoods|The Hard Road
Australian Albums '11|17|The Whitlams|Eternal Nightcap
Australian Albums '11|18|Crowded House|Woodface
Australian Albums '11|19|Tame Impala|Innerspeaker
Australian Albums '11|20|The Temper Trap|Conditions
2011|1|Gotye|Somebody That I Used to Know {ft. Kimbra}
2011|2|The Black Keys|Lonely Boy
2011|3|Matt Corby|Brother
2011|4|Boy & Bear|Feeding Line
2011|5|M83|Midnight City
2011|6|Lana Del Rey|Video Games
2011|7|San Cisco|Awkward
2011|8|360|Boys Like You {ft. Gossling}
2011|9|The Jezabels|Endless Summer
2011|10|Hilltop Hoods|I Love It {ft. Sia}
2011|11|Calvin Harris|Feel So Close
2011|12|Architecture in Helsinki|Contact High
2011|13|Florence and the Machine|Shake It Out
2011|14|Foster the People|Call It What You Want
2011|15|Foster the People|Helena Beat
2011|16|Grouplove|Tongue Tied
2011|17|Seeker Lover Keeper|Even Though I'm a Woman
2011|18|The Wombats|Jump into the Fog
2011|19|Nero|Promises
2011|20|Bluejuice|Act Yr Age
2010|1|Angus & Julia Stone|Big Jet Plane
2010|2|Little Red|Rock It
2010|3|Ou Est Le Swimming Pool|Dance the Way I Feel
2010|4|Birds of Tokyo|Plans
2010|5|Boy & Bear|Fall at Your Feet
2010|6|Adrian Lux|Teenage Crime
2010|7|Cee-Lo Green|Fuck You!
2010|8|The Wombats|Tokyo (Vampires & Wolves)
2010|9|Art vs Science|Magic Fountain
2010|10|Mark Ronson & The Business Intl.|Somebody to Love Me {ft. Boy George & Andrew Wyatt}
2010|11|Pendulum|ABC News Theme Remix
2010|12|Drapht|Rapunzel
2010|13|Sia|Clap Your Hands
2010|14|Kanye West|Runaway {ft. Pusha T}
2010|15|Duck Sauce|Barbra Streisand
2010|16|The Jezabels|Mace Spray
2010|17|Mark Ronson & The Business Intl.|Bang Bang Bang {ft. Q-Tip & MNDR}
2010|18|Cloud Control|There's Nothing in the Water We Can't Fight
2010|19|Flight Facilities|Crave You {ft. Giselle}
2010|20|Washington|Sunday Best
All-time '09|1|Nirvana|Smells Like Teen Spirit
All-time '09|2|Rage Against the Machine|Killing in the Name
All-time '09|3|Jeff Buckley|Hallelujah
All-time '09|4|Joy Division|Love Will Tear Us Apart
All-time '09|5|Radiohead|Paranoid Android
All-time '09|6|Queen|Bohemian Rhapsody
All-time '09|7|Jeff Buckley|Last Goodbye
All-time '09|8|Red Hot Chili Peppers|Under the Bridge
All-time '09|9|Foo Fighters|Everlong
All-time '09|10|Led Zeppelin|Stairway to Heaven
All-time '09|11|John Lennon|Imagine
All-time '09|12|Oasis|Wonderwall
All-time '09|13|Radiohead|Creep
All-time '09|14|The Verve|Bitter Sweet Symphony
All-time '09|15|Radiohead|Karma Police
All-time '09|16|Pink Floyd|Wish You Were Here
All-time '09|17|Hilltop Hoods|The Nosebleed Section
All-time '09|18|Muse|Knights of Cydonia
All-time '09|19|Metallica|One
All-time '09|20|The White Stripes|Seven Nation Army
2009|1|Mumford & Sons|Little Lion Man
2009|2|Art vs Science|Parlez Vous Francais?
2009|3|Hilltop Hoods|Chase That Feeling
2009|4|Phoenix|Lisztomania
2009|5|Bluejuice|Broken Leg
2009|6|La Roux|Bulletproof
2009|7|Lisa Mitchell|Coin Laundry
2009|8|Lily Allen|Not Fair
2009|9|Muse|Uprising
2009|10|Florence and the Machine|Dog Days Are Over
2009|11|Yeah Yeah Yeahs|Heads Will Roll
2009|12|Dizzee Rascal and Armand Van Helden|Bonkers
2009|13|Phoenix|1901
2009|14|Jamie T|Sticks 'n' Stones
2009|15|Edward Sharpe and the Magnetic Zeros|Home
2009|16|Gossip|Heavy Cross
2009|17|Kasabian|Fire
2009|18|Bag Raiders|Shooting Stars
2009|19|Muse|Undisclosed Desires
2009|20|Passion Pit|Sleepyhead
2008|1|Kings of Leon|Sex on Fire
2008|2|MGMT|Electric Feel
2008|3|Kings of Leon|Use Somebody
2008|4|Empire of the Sun|Walking on a Dream
2008|5|MGMT|Kids
2008|6|The Presets|Talk Like That
2008|7|Pez|The Festival Song {ft. 360 & Hailey Cramer}
2008|8|The Presets|This Boy's in Love
2008|9|The Ting Tings|That's Not My Name
2008|10|Drapht|Jimmy Recard
2008|11|Ladyhawke|My Delirium
2008|12|Pnau|Embrace {ft. Ladyhawke}
2008|13|The Herd|The King Is Dead
2008|14|The Rapture|No Sex for Ben
2008|15|Cut Copy|Lights & Music
2008|16|Ben Folds|You Don't Know Me {ft. Regina Spektor}
2008|17|Dizzee Rascal|Dance Wiv Me {ft. Calvin Harris & Chrome}
2008|18|MGMT|Time to Pretend
2008|19|Flight of the Conchords|Business Time
2008|20|Birds of Tokyo|Broken Bones
2007|1|Muse|Knights of Cydonia
2007|2|Silverchair|Straight Lines
2007|3|Kings of Leon|On Call
2007|4|The John Butler Trio|Better Than
2007|5|Faker|This Heart Attack
2007|6|Foo Fighters|The Pretender
2007|7|Daft Punk|Harder, Better, Faster, Stronger {Alive 2007}
2007|8|Cold War Kids|Hang Me Up to Dry
2007|9|Soko|I'll Kill Her
2007|10|The Panics|Don't Fight It
2007|11|Bluejuice|Vitriol
2007|12|The Wombats|Let's Dance to Joy Division
2007|13|Kaiser Chiefs|Ruby
2007|14|Muscles|Ice Cream
2007|15|Powderfinger|Lost and Running
2007|16|Gyroscope|Snakeskin
2007|17|M.I.A|Paper Planes
2007|18|The Presets|My People
2007|19|Architecture in Helsinki|Heart It Races
2007|20|Kanye West|Stronger
2006|1|Augie March|One Crowded Hour
2006|2|Eskimo Joe|Black Fingernails, Red Wine
2006|3|Hilltop Hoods|The Hard Road
2006|4|The Killers|When You Were Young
2006|5|Scissor Sisters|I Don't Feel Like Dancin'
2006|6|Gnarls Barkley|Crazy
2006|7|Snow Patrol|Chasing Cars
2006|8|Gotye|Hearts a Mess
2006|9|Muse|Starlight
2006|10|The Grates|19-20-20
2006|11|Little Birdy|Come On, Come On
2006|12|The John Butler Trio|Funky Tonight
2006|13|My Chemical Romance|Welcome to the Black Parade
2006|14|OK Go|Here It Goes Again
2006|15|Lily Allen|Smile
2006|16|Peter Bjorn and John|Young Folks
2006|17|The Grates|Science is Golden
2006|18|Muse|Supermassive Black Hole
2006|19|Lupe Fiasco|Kick, Push
2006|20|Regina Spektor|Fidelity
2005|1|Bernard Fanning|Wish You Well
2005|2|Ben Lee|Catch My Disease
2005|3|Gorillaz|Feel Good Inc.
2005|4|Foo Fighters|Best of You
2005|5|Gorillaz|DARE
2005|6|Wolfmother|Mind's Eye
2005|7|The White Stripes|My Doorbell
2005|8|End of Fashion|O Yeah
2005|9|Wolfmother|Joker and the Thief
2005|10|Franz Ferdinand|Do You Want To
2005|11|Butterfingers|Figjam (Fuck I'm Good, Just Ask Me)
2005|12|Datarock|Computer Camp Love
2005|13|Kanye West|Gold Digger
2005|14|Bernard Fanning|Songbird
2005|15|Sarah Blasko|Flame Trees
2005|16|Wolfmother|Apple Tree
2005|17|The White Stripes|Blue Orchid
2005|18|The Herd|I Was Only 19
2005|19|Josh Pyke|Middle Of The Hill
2005|20|Foo Fighters|DOA
2004|1|Franz Ferdinand|Take Me Out
2004|2|Missy Higgins|Scar
2004|3|Eskimo Joe|From the Sea
2004|4|The Killers|Somebody Told Me
2004|5|Spiderbait|Black Betty
2004|6|Missy Higgins|Ten Days
2004|7|John Butler Trio|Somethings Gotta Give
2004|8|Little Birdy|Beautiful to Me
2004|9|Powderfinger|Bless My Soul
2004|10|The White Stripes|Jolene {Live}
2004|11|Modest Mouse|Float On
2004|12|The Dresden Dolls|Coin-Operated Boy
2004|13|The Killers|Mr. Brightside
2004|14|Evermore|It's Too Late
2004|15|Ben Lee|Gamble Everything for Love
2004|16|Grinspoon|Hard Act to Follow
2004|17|Butterfingers|Yo Mama
2004|18|The Streets|Fit But You Know It
2004|19|The Streets|Dry Your Eyes
2004|20|Spiderbait|Fucken Awesome
2003|1|Jet|Are You Gonna Be My Girl?
2003|2|OutKast|Hey Ya!
2003|3|The White Stripes|Seven Nation Army
2003|4|Powderfinger|(Baby I've Got You) On My Mind
2003|5|Coldplay|Clocks {Royksopp Remix}
2003|6|The Cat Empire|Hello
2003|7|Powderfinger|Sunsets
2003|8|The John Butler Trio|Zebra
2003|9|Hilltop Hoods|The Nosebleed Section
2003|10|Powderfinger|Love Your Way
2003|11|Something for Kate|Deja Vu
2003|12|The Waifs|Lighthouse
2003|13|The Dandy Warhols|We Used to Be Friends
2003|14|The White Stripes|The Hardest Button to Button
2003|15|Butterfingers|I Love Work
2003|16|Little Birdy|Relapse
2003|17|Jack Johnson|Taylor
2003|18|Ben Harper|Diamonds on the Inside
2003|19|Jet|Rollover DJ
2003|20|Pete Murray|Feeler
2002|1|Queens of the Stone Age|No One Knows
2002|2|Grinspoon|Chemical Heart
2002|3|The Waifs|London Still
2002|4|1200 Techniques|Karma
2002|5|The Vines|Get Free
2002|6|Machine Gun Fellatio|Rollercoaster
2002|7|Eminem|Lose Yourself
2002|8|Machine Gun Fellatio|Pussytown
2002|9|Red Hot Chili Peppers|By the Way
2002|10|Silverchair|The Greatest View
2002|11|Foo Fighters|The One
2002|12|Nirvana|You Know You're Right
2002|13|Foo Fighters|All My Life
2002|14|Grinspoon|Lost Control
2002|15|Grinspoon|No Reason
2002|16|Red Hot Chili Peppers|The Zephyr Song
2002|17|Eminem|Without Me
2002|18|System of a Down|Toxicity
2002|19|The Vines|Highly Evolved
2002|20|Audioslave|Cochise
2001|1|Alex Lloyd|Amazing
2001|2|Something for Kate|Monsters
2001|3|System of a Down|Chop Suey!
2001|4|Basement Jaxx|Where's Your Head At?
2001|5|John Butler Trio|Betterman
2001|6|Alien Ant Farm|Smooth Criminal
2001|7|Weezer|Island In The Sun
2001|8|The Avalanches|Since I Left You
2001|9|Gorillaz|Clint Eastwood
2001|10|Cake|Short Skirt/Long Jacket
2001|11|Garbage|Cherry Lips (Go Baby Go!)
2001|12|The Strokes|Last Nite
2001|13|Something for Kate|Three Dimensions
2001|14|Tool|Schism
2001|15|Gorillaz|19-2000
2001|16|28 Days/Apollo 440|Say What?
2001|17|Ben Folds|Rockin' The Suburbs
2001|18|Rage Against the Machine|Renegades of Funk
2001|19|George|Special Ones
2001|20|Weezer|Hash Pipe
2000|1|Powderfinger|My Happiness
2000|2|U2|Beautiful Day
2000|3|Powderfinger|My Kind of Scene
2000|4|Wheatus|Teenage Dirtbag
2000|5|Coldplay|Yellow
2000|6|The Avalanches|Frontier Psychiatrist
2000|7|Red Hot Chili Peppers|Californication
2000|8|Foo Fighters|Generator
2000|9|Paul Kelly|Every Fucking City
2000|10|Dandy Warhols|Bohemian Like You
2000|11|28 Days|Rip It Up
2000|12|Magic Dirt|Dirty Jeans
2000|13|Rage Against the Machine|Sleep Now in the Fire
2000|14|Green Day|Minority
2000|15|Lo-Tel|Teenager Of The Year
2000|16|Machine Gun Fellatio|Unsent Letter
2000|17|The Superjesus|Gravity
2000|18|Foo Fighters|Stacked Actors
2000|19|The Living End|Pictures in the Mirror
2000|20|Bodyjar|Not The Same
1999|1|Powderfinger|These Days
1999|2|Killing Heidi|Weir
1999|3|The Tenants|You Shit Me To Tears
1999|4|Fatboy Slim|Praise You
1999|5|Placebo|Every You Every Me
1999|6|Bloodhound Gang|The Bad Touch
1999|7|Rage Against The Machine|Guerrilla Radio
1999|8|Limp Bizkit|Nookie
1999|9|Pearl Jam|Last Kiss
1999|10|Red Hot Chili Peppers|Scar Tissue
1999|11|The Foo Fighters|Learn To Fly
1999|12|Garbage|When I Grow Up
1999|13|Blink-182|What's My Age Again?
1999|14|Killing Heidi|Mascara
1999|15|Silverchair|Ana's Song (Open Fire)
